"x","y","label"
10,0.49495,"Kaggle"
20,0.48195,"Kaggle"
30,0.47909999999999997,"Kaggle"
40,0.47795,"Kaggle"
50,0.47659999999999997,"Kaggle"
60,0.474,"Kaggle"
70,0.47285,"Kaggle"
80,0.47165,"Kaggle"
90,0.4638,"Kaggle"
100,0.46695,"Kaggle"
110,0.46275,"Kaggle"
120,0.45935000000000004,"Kaggle"
130,0.4618,"Kaggle"
140,0.4578,"Kaggle"
150,0.45525,"Kaggle"
160,0.45995,"Kaggle"
170,0.45449999999999996,"Kaggle"
180,0.4506,"Kaggle"
190,0.44920000000000004,"Kaggle"
200,0.45225,"Kaggle"
210,0.4477,"Kaggle"
220,0.4477,"Kaggle"
230,0.44535,"Kaggle"
240,0.44320000000000004,"Kaggle"
250,0.44855,"Kaggle"
260,0.44514999999999993,"Kaggle"
270,0.4448500000000001,"Kaggle"
280,0.44215000000000004,"Kaggle"
290,0.43929999999999997,"Kaggle"
300,0.44079999999999997,"Kaggle"
310,0.43815,"Kaggle"
320,0.43715,"Kaggle"
330,0.43395,"Kaggle"
340,0.43205,"Kaggle"
350,0.43209999999999993,"Kaggle"
360,0.4327,"Kaggle"
370,0.43000000000000005,"Kaggle"
380,0.4285,"Kaggle"
390,0.43695,"Kaggle"
400,0.42745,"Kaggle"
10,0.4942,"Ladder"
20,0.49339999999999995,"Ladder"
30,0.49065000000000003,"Ladder"
40,0.48919999999999997,"Ladder"
50,0.48955,"Ladder"
60,0.49075,"Ladder"
70,0.48875,"Ladder"
80,0.48419999999999996,"Ladder"
90,0.48895,"Ladder"
100,0.49035,"Ladder"
110,0.48765000000000003,"Ladder"
120,0.48464999999999997,"Ladder"
130,0.48160000000000003,"Ladder"
140,0.48830000000000007,"Ladder"
150,0.48569999999999997,"Ladder"
160,0.4908,"Ladder"
170,0.48815,"Ladder"
180,0.488,"Ladder"
190,0.48295,"Ladder"
200,0.48639999999999994,"Ladder"
210,0.48324999999999996,"Ladder"
220,0.48595,"Ladder"
230,0.4893,"Ladder"
240,0.4869,"Ladder"
250,0.49344999999999994,"Ladder"
260,0.48195000000000005,"Ladder"
270,0.48740000000000006,"Ladder"
280,0.4851000000000001,"Ladder"
290,0.48945000000000005,"Ladder"
300,0.4896499999999999,"Ladder"
310,0.4814,"Ladder"
320,0.47965,"Ladder"
330,0.48210000000000003,"Ladder"
340,0.48850000000000005,"Ladder"
350,0.48495000000000005,"Ladder"
360,0.4877,"Ladder"
370,0.48405000000000004,"Ladder"
380,0.48525,"Ladder"
390,0.48614999999999997,"Ladder"
400,0.48425,"Ladder"
10,0.502475,"Test"
20,0.4992,"Test"
30,0.49724999999999997,"Test"
40,0.5031749999999999,"Test"
50,0.49765000000000004,"Test"
60,0.5001,"Test"
70,0.5028999999999999,"Test"
80,0.50165,"Test"
90,0.50105,"Test"
100,0.501525,"Test"
110,0.4994,"Test"
120,0.497125,"Test"
130,0.503175,"Test"
140,0.501125,"Test"
150,0.504875,"Test"
160,0.49922500000000003,"Test"
170,0.501825,"Test"
180,0.4949,"Test"
190,0.501,"Test"
200,0.501375,"Test"
210,0.49877499999999997,"Test"
220,0.49870000000000003,"Test"
230,0.5017750000000001,"Test"
240,0.502775,"Test"
250,0.504325,"Test"
260,0.49927499999999997,"Test"
270,0.49905,"Test"
280,0.497425,"Test"
290,0.5035750000000001,"Test"
300,0.5019,"Test"
310,0.4942749999999999,"Test"
320,0.49994999999999995,"Test"
330,0.49870000000000003,"Test"
340,0.5047250000000001,"Test"
350,0.503925,"Test"
360,0.500025,"Test"
370,0.498725,"Test"
380,0.49727499999999997,"Test"
390,0.5008250000000001,"Test"
400,0.50155,"Test"
